,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
53,0,4399206,58236711,343504397,1182807942,2662323727,4179817066,4781077917,4114494593,2732515744,1430075807,600200003,204966074,57632457,13468612,2635370,434383,59917,7007,701,58,5,1
54,0,4542816,60755408,361713285,1256226145,2850220308,4508149661,5191722425,4495726252,3002326951,1578995999,665397056,227912396,64217761,15018335,2934283,480933,66518,7784,747,69,2,0
55,0,4665850,62916028,377923429,1323463060,3025455504,4818285799,5584196740,4863460807,3264614656,1724461424,729194509,250413502,70658423,16525445,3226663,526641,72409,8225,837,58,1,0
56,0,4753101,64696959,391903451,1383420478,3185141659,5105578291,5951832881,5210971342,3514018740,1863138949,790236049,271907417,76772908,17943216,3491832,570194,78263,8928,842,65,6,0
57,0,4812477,66061791,403536835,1435049441,3326312175,5364249630,6287430957,5531201731,3745234756,1992509442,847175621,291900333,82446741,19246846,3739713,604336,82111,9353,887,69,4,1
58,0,4838172,67011962,412569126,1477554322,3446872093,5589966195,6585049810,5818204255,3953841649,2109462124,898609173,309935501,87496043,20386871,3947835,636128,85773,9489,881,69,2,0
59,0,4840098,67531546,418938789,1510580138,3544808461,5779164610,6839042578,6066368393,4135797416,2211766853,943524045,325527955,91818659,21348826,4111381,658553,87275,9726,868,70,4,0
60,0,4808245,67611395,422502755,1533485306,3618854057,5928629972,7045295211,6271126861,4286916989,2297094066,980887730,338332219,95290796,22096118,4239590,674906,89189,9685,843,70,3,1
61,0,4751390,67300544,423345794,1546108545,3667878699,6036333430,7200316877,6429025070,4405142864,2363835530,1009871024,348127294,97868375,22610460,4312488,681468,88469,9693,798,68,5,0
62,0,4668336,66577435,421623645,1548441737,3691807469,6101022972,7302564063,6537589449,4488267544,2410929829,1029989822,354729203,99459925,22886279,4341682,680596,88021,9419,835,51,2,0
63,0,4558976,65459530,417236933,1540898139,3690895059,6122531520,7350719767,6596011306,4535258341,2437600983,1041070788,357940834,100056975,22923718,4318697,670257,85309,9043,783,51,1,0
64,0,4423572,63995910,410400485,1523662205,3665425807,6101533951,7345159082,6603864906,4545573630,2443694610,1042778770,357734586,99678327,22709280,4248337,654434,82601,8451,741,48,1,0
65,0,4273538,62212934,401346708,1497344382,3616649270,6039401279,7287847033,6562334322,4520221517,2429587999,1035491799,354358981,98350745,22276424,4133104,629303,78421,7787,606,39,1,0
66,0,4102854,60139295,390212947,1462674176,3546145738,5938490166,7180398523,6473516824,4460697060,2396144271,1019511294,347897452,96112130,21641528,3983886,601207,73184,7245,579,38,3,0
67,0,3924751,57826899,377230049,1420535561,3455605262,5801546112,7026752000,6340421758,4369174728,2344574997,995446375,338531931,93050086,20816458,3797500,564563,68752,6570,464,29,1,0
68,0,3727956,55307832,362730309,1371563836,3347124432,5632142586,6831106742,6167135002,4248126828,2276609388,964113736,326608891,89318934,19823680,3581886,526635,62460,5807,484,35,1,0
69,0,3528347,52635605,346917452,1316968648,3223121835,5433956650,6597593342,5957725344,4100625548,2193895049,926403371,312490145,84962248,18705786,3348395,485439,56287,5302,345,20,0,0
70,0,3325804,49856044,330048407,1257542056,3085961999,5211159702,6331875203,5717112320,3931072138,2098583277,883254595,296568632,80099545,17491265,3097009,442040,50829,4637,344,23,0,0
71,0,3114539,46969293,312369685,1194367647,2937866994,4967989066,6039594185,5450670174,3742643440,1993031811,835752045,279158969,74882311,16206869,2833291,400073,45220,4096,271,7,1,0
72,0,2904022,44040263,294181834,1128410572,2781524462,4709088825,5725531516,5163521923,3539287312,1879527705,784933246,260755554,69421126,14890651,2573800,356621,39390,3452,202,9,0,0
73,0,2696372,41081379,275628100,1060610948,2619310850,4438274715,5395754468,4860955555,3325160962,1760209010,731745715,241636318,63847246,13551125,2314034,315002,33945,2952,193,9,0,0
74,0,2493841,38157834,257053203,991912860,2453610882,4159826705,5055394853,4548158647,3103752648,1637144668,677371513,222256151,58224097,12234620,2059276,276387,29287,2386,147,8,0,0
75,0,2290804,35287391,238584735,923046318,2286518527,3877831002,4709452838,4229981130,2878850181,1512701573,622587448,202886197,52694946,10946108,1817650,239160,25123,1946,129,3,0,0
76,0,2098557,32481590,220406205,854859104,2119858921,3595557875,4362675955,3910722795,2653597992,1388524218,568295024,183853934,47306586,9711894,1588427,205339,20578,1635,102,5,0,0
77,0,1914116,29767033,202719753,787801247,1955764848,3316469103,4019137312,3594961028,2431277537,1266388888,515240760,165389907,42162052,8547737,1375604,174476,17285,1278,56,3,0,0
78,0,1740264,27161840,185610621,722681847,1795306257,3043224155,3682752418,3285834924,2214053594,1147602134,463949057,147766968,37258229,7462439,1181584,147137,13997,1053,39,4,1,0
